INSTNM,STABBR,UGDS,COSTT4_A,C150_4
University of Alaska Anchorage,AK,6778,23461,0.2995
The University of Alabama,AL,31360,31024,0.7276
University of Arkansas,AR,26002,24611,0.6919
Arizona State University Campus Immersion,AZ,64778,26937,0.669
California State University-Fullerton,CA,35249,17337,0.693
University of Colorado Boulder,CO,30598,32351,0.7474
University of Connecticut,CT,18768,35236,0.8318
University of the District of Columbia,DC,2912,19905,0.3515
University of Delaware,DE,18665,28744,0.7961
University of Central Florida,FL,57874,22662,0.7558
Kennesaw State University,GA,38051,24808,0.4642
University of Guam,GU,2629,14380,0.3773
University of Hawaii at Manoa,HI,13915,22185,0.6233
Iowa State University,IA,24994,21932,0.7445
Boise State University,ID,16979,23497,0.5968
University of Illinois Urbana-Champaign,IL,34031,31636,0.8469
Purdue University-Main Campus,IN,38438,22508,0.8304
University of Kansas,KS,18539,24888,0.6728
University of Kentucky,KY,22115,30635,0.6877
Louisiana State University and Agricultural & Mechanical College,LA,27729,33322,0.6985
University of Massachusetts-Amherst,MA,24111,32355,0.8305
University of Maryland-College Park,MD,29982,26781,0.8927
University of Maine,ME,8720,25586,0.5527
Michigan State University,MI,39021,29204,0.8157
University of Minnesota-Twin Cities,MN,30560,27446,0.8436
University of Missouri-Columbia,MO,23206,28417,0.753
Mississippi State University,MS,18154,26353,0.631
Montana State University,MT,14343,22506,0.5682
North Carolina State University at Raleigh,NC,25109,24852,0.8463
North Dakota State University-Main Campus,ND,9795,22936,0.6317
University of Nebraska-Lincoln,NE,19097,24612,0.6494
University of New Hampshire-Main Campus,NH,11396,34090,0.7788
Rutgers University-New Brunswick,NJ,36090,31851,0.8446
University of New Mexico-Main Campus,NM,15642,19556,0.517
University of Nevada-Las Vegas,NV,24329,19984,0.4716
University at Buffalo,NY,20569,27603,0.7351
Ohio State University-Main Campus,OH,45140,28133,0.8801
University of Oklahoma-Norman Campus,OK,20842,31025,0.7606
Oregon State University,OR,28407,28827,0.7004
Pennsylvania State University-Main Campus,PA,41417,38049,0.8328
University of Puerto Rico-Mayaguez,PR,9999,18788,0.4217
University of Rhode Island,RI,13828,31804,0.7159
University of South Carolina-Columbia,SC,26840,28844,0.7832
South Dakota State University,SD,8627,22447,0.5926
The University of Tennessee-Knoxville,TN,26905,32658,0.7258
Texas A & M University-College Station,TX,56792,31451,0.8354
University of Utah,UT,25392,18891,0.6455
Virginia Polytechnic Institute and State University,VA,30339,28064,0.8642
University of the Virgin Islands,VI,1325,16096,0.273
University of Vermont,VT,11326,35179,0.7576
University of Washington-Seattle Campus,WA,30931,28650,0.8437
University of Wisconsin-Madison,WI,35184,27100,0.8923
West Virginia University,WV,18370,22810,0.6212
University of Wyoming,WY,8363,21423,0.6088
