INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Cameron University,2643,6705,16125,17194,0.2469
University of Central Oklahoma,10400,8234,19121,24920,0.3528
East Central University,2584,7405,16765,17634,0.314
Langston University,1774,6639,14166,20709,0.2289
Northeastern State University,4885,7400,16385,18427,0.38
Northwestern Oklahoma State University,1430,5970,11664,18714,0.2685
Oklahoma Christian University,1856,25148,25148,37935,0.5692
Oklahoma Panhandle State University,1124,7634,8385,14525,0.2197
Oklahoma State University-Main Campus,20362,10234,25754,24770,0.649
Oklahoma State University-Oklahoma City,3574,3779,9564,12465,0.1283
Oklahoma Baptist University,1246,32880,32880,45693,0.5405
Oklahoma City University,1344,32744,32744,46239,0.693
University of Oklahoma-Norman Campus,20842,9312,25880,31025,0.7606
Oklahoma State University Institute of Technology,2021,5774,11384,17089,0.422
Oral Roberts University,3250,32640,32640,46011,0.6288
Rogers State University,2507,7252,15036,20553,0.2508
Southeastern Oklahoma State University,2853,7020,15930,17907,0.3353
Southwestern Oklahoma State University,3596,8130,15240,21769,0.3913
University of Tulsa,2612,47211,47211,63577,0.7219
Mid-America Christian University,1415,18838,18838,29094,0.3926
