nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
16773,2031,2022,29,001,Missouri,Adair County,25151
13049,1349,2022,29,003,Missouri,Andrew County,18016
3356,490,2022,29,005,Missouri,Atchison County,5161
16459,2628,2022,29,007,Missouri,Audrain County,24482
23277,3841,2022,29,009,Missouri,Barry County,34944
7890,1338,2022,29,011,Missouri,Barton County,11695
11082,1712,2022,29,013,Missouri,Bates County,16170
11827,2069,2022,29,015,Missouri,Benton County,20233
7044,1192,2022,29,017,Missouri,Bollinger County,10531
140006,12823,2022,29,019,Missouri,Boone County,187721
57805,7944,2022,29,021,Missouri,Buchanan County,82891
28884,4615,2022,29,023,Missouri,Butler County,42166
6105,919,2022,29,025,Missouri,Caldwell County,8939
30436,3316,2022,29,027,Missouri,Callaway County,44723
26311,4257,2022,29,029,Missouri,Camden County,43760
58936,6426,2022,29,031,Missouri,Cape Girardeau County,82931
5730,761,2022,29,033,Missouri,Carroll County,8420
3619,551,2022,29,035,Missouri,Carter County,5254
82461,8072,2022,29,037,Missouri,Cass County,110357
9481,1638,2022,29,039,Missouri,Cedar County,14601
4853,591,2022,29,041,Missouri,Chariton County,7395
68995,8460,2022,29,043,Missouri,Christian County,93122
4610,681,2022,29,045,Missouri,Clark County,6715
200559,16820,2022,29,047,Missouri,Clay County,256930
15689,1715,2022,29,049,Missouri,Clinton County,21303
53853,5358,2022,29,051,Missouri,Cole County,76956
11637,1360,2022,29,053,Missouri,Cooper County,16763
15113,2706,2022,29,055,Missouri,Crawford County,22659
4960,797,2022,29,057,Missouri,Dade County,7665
11886,2072,2022,29,059,Missouri,Dallas County,17587
5467,1025,2022,29,061,Missouri,Daviess County,8457
6484,748,2022,29,063,Missouri,DeKalb County,11310
9630,1560,2022,29,065,Missouri,Dent County,14488
7853,1095,2022,29,067,Missouri,Douglas County,11981
19004,2913,2022,29,069,Missouri,Dunklin County,27411
76786,8750,2022,29,071,Missouri,Franklin County,105793
9849,1467,2022,29,073,Missouri,Gasconade County,14772
4296,761,2022,29,075,Missouri,Gentry County,6274
217694,27188,2022,29,077,Missouri,Greene County,303197
6436,1125,2022,29,079,Missouri,Grundy County,9844
5641,668,2022,29,081,Missouri,Harrison County,8217
15386,2018,2022,29,083,Missouri,Henry County,22421
5040,763,2022,29,085,Missouri,Hickory County,8575
2837,336,2022,29,087,Missouri,Holt County,4254
6620,783,2022,29,089,Missouri,Howard County,10179
28137,4217,2022,29,091,Missouri,Howell County,40623
6226,933,2022,29,093,Missouri,Iron County,9413
527438,65719,2022,29,095,Missouri,Jackson County,716218
88061,14375,2022,29,097,Missouri,Jasper County,124016
172962,18105,2022,29,099,Missouri,Jefferson County,229220
39970,4687,2022,29,101,Missouri,Johnson County,54449
2429,487,2022,29,103,Missouri,Knox County,3777
26064,3455,2022,29,105,Missouri,Laclede County,36345
23307,3136,2022,29,107,Missouri,Lafayette County,32967
26831,4779,2022,29,109,Missouri,Lawrence County,38689
6194,946,2022,29,111,Missouri,Lewis County,9886
48451,5238,2022,29,113,Missouri,Lincoln County,63182
8259,1051,2022,29,115,Missouri,Linn County,11826
9141,1307,2022,29,117,Missouri,Livingston County,14335
16135,3532,2022,29,119,Missouri,McDonald County,23593
10319,1334,2022,29,121,Missouri,Macon County,15076
8924,1082,2022,29,123,Missouri,Madison County,12757
5712,857,2022,29,125,Missouri,Maries County,8432
20119,2349,2022,29,127,Missouri,Marion County,28489
2238,390,2022,29,129,Missouri,Mercer County,3466
17730,2544,2022,29,131,Missouri,Miller County,25403
7449,1311,2022,29,133,Missouri,Mississippi County,11665
9974,2150,2022,29,135,Missouri,Moniteau County,15260
5589,866,2022,29,137,Missouri,Monroe County,8635
7986,1086,2022,29,139,Missouri,Montgomery County,11479
12942,3532,2022,29,141,Missouri,Morgan County,21786
10803,1547,2022,29,143,Missouri,New Madrid County,15710
41710,6429,2022,29,145,Missouri,Newton County,60096
14117,1617,2022,29,147,Missouri,Nodaway County,20715
5716,967,2022,29,149,Missouri,Oregon County,8703
9840,974,2022,29,151,Missouri,Osage County,13398
5351,988,2022,29,153,Missouri,Ozark County,8954
10423,1407,2022,29,155,Missouri,Pemiscot County,14865
13352,1640,2022,29,157,Missouri,Perry County,18878
30344,4938,2022,29,159,Missouri,Pettis County,43397
31087,4127,2022,29,161,Missouri,Phelps County,45273
11351,1708,2022,29,163,Missouri,Pike County,17644
85632,6839,2022,29,165,Missouri,Platte County,110570
22643,3423,2022,29,167,Missouri,Polk County,32659
34763,3867,2022,29,169,Missouri,Pulaski County,53810
3149,372,2022,29,171,Missouri,Putnam County,4662
7223,809,2022,29,173,Missouri,Ralls County,10410
16551,2128,2022,29,175,Missouri,Randolph County,24626
16414,2242,2022,29,177,Missouri,Ray County,23121
3795,684,2022,29,179,Missouri,Reynolds County,5996
7348,1180,2022,29,181,Missouri,Ripley County,10714
320736,21284,2022,29,183,Missouri,St. Charles County,413798
6109,858,2022,29,185,Missouri,St. Clair County,9595
12719,1476,2022,29,186,Missouri,Ste. Genevieve County,18613
43357,6835,2022,29,187,Missouri,St. Francois County,66906
726369,56786,2022,29,189,Missouri,St. Louis County,990791
15049,1886,2022,29,195,Missouri,Saline County,23003
2760,431,2022,29,197,Missouri,Schuyler County,4000
2866,856,2022,29,199,Missouri,Scotland County,4647
26542,3840,2022,29,201,Missouri,Scott County,37868
4837,698,2022,29,203,Missouri,Shannon County,7216
3991,585,2022,29,205,Missouri,Shelby County,5996
19247,3108,2022,29,207,Missouri,Stoddard County,28390
18830,2957,2022,29,209,Missouri,Stone County,32134
4019,546,2022,29,211,Missouri,Sullivan County,5816
36059,5867,2022,29,213,Missouri,Taney County,56749
15793,2562,2022,29,215,Missouri,Texas County,25304
13310,1849,2022,29,217,Missouri,Vernon County,19599
27124,3280,2022,29,219,Missouri,Warren County,37290
15772,2500,2022,29,221,Missouri,Washington County,23392
6898,1144,2022,29,223,Missouri,Wayne County,10817
29469,4267,2022,29,225,Missouri,Webster County,40366
1238,179,2022,29,227,Missouri,Worth County,1940
12943,2276,2022,29,229,Missouri,Wright County,19143
208568,22067,2022,29,510,Missouri,St. Louis city,286193
